Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
Urban clap is easy to access and convenient to book for any service.,easy to access,App UI,positive,,,,,,,,,,,,,,,
excellent service....very professional electrician they have,excellent service and professional electricians,service quality,positive,,,,,,,,,,,,,,,
I have taken services from Urban clap twice and observed they do not have professionaly trained beautician. Their beautician can't do threading also not satisfied the way they do facial and waxing.,unprofessional beauticians,service quality,negative ,,,,,,,,,,,,,,,
"very bad. they send you totally fake notifications always. and rate high or equal to local. I was looking for salon services, and they always send some fake notifications. when I click on those notifications and open the app there would be no discount.",fake notifications,App functionality,negative ,rate high,cost,negative ,,,,,,,,,,,,
I order for AC repair when he came for Repairing he told me for gas filling and demanding 2500 rs.after payment he was not back I complain in urban clap but they do nothing in this matter name of person is Mr Deepak so please do not trust any person who come from urban clap this is completely cheats me,bad customer service,company's service,negative ,,,,,,,,,,,,,,,
nice and good app,good app,APP utlity,positive,,,,,,,,,,,,,,,
came on time work proffetionaly complete,came on time,service schedule,positive,,,,,,,,,,,,,,,
first time user and very satisfied.,first time user and very satisfied.,service quality,positive,,,,,,,,,,,,,,,
nice facilities and rates is to much high,expensive,cost,negative ,nice facilities,APP utlity,positive,,,,,,,,,,,,
Professional service. Prompt too!,Professional service,service quality,positive,prompt,service quality,positive,,,,,,,,,,,,
I want to give zero rating to them. They take more then 1 day to repair a cooler Motar. Seriously hats off. you can't serve jn Jaipur. please keep your business in your business area. don't try to scale your business without a business model.,poor service,company's service,negative ,,,,,,,,,,,,,,,
Customer care is not at all there. AC service was done very badly Infact he just came with a pump sprayed water and vanished. Had to call the authorised service centre to get it done again. Wasted the money. Never ever going to use this app.,no customer care,customer support,negative ,AC service was done very badly,service quality,negative ,,,,,,,,,,,,
on time & professionally done job, professionally done job,service quality,positive,on time,service schedule,positive,,,,,,,,,,,,
urbanclap servings are not satisfactory and their technician has taken excess amount and problem was not solved. I feel so bad .So many mails and calls were done but ofvno use. The technical persons should be trained well and response for the problem is so bad . They have taken very higher ount and given manual recript with 100 days warrenty but no response from the technican.,not satisfactory,service quality,negative ,response for the problem is so bad,customer support,negative ,,,,,,,,,,,,
Very Very Helpful and Useful . Excellent Experience,excellent experience,service quality,positive,,,,,,,,,,,,,,,
"AC service right on time, satisfied work done, a must have APP.",satisfied work,service quality,positive,,,,,,,,,,,,,,,
They would not care once the job is done.pathetic after service.. unprofessional engineers.. uninstalled the app also would not recommend anyone to use this service..,pathetic after service,service quality,negative ,unprofessional engineers,service quality,negative ,,,,,,,,,,,,
great helping hand. economical.,economical,cost,positive,,,,,,,,,,,,,,,
Everything is just perfect App & services also charges & offers are great.,perfect app,APP utlity,positive,charges & offers are great,cost,positive,,,,,,,,,,,,
"Very helpful, very fast service",fast service,company's service,positive,,,,,,,,,,,,,,,
this is a cheating App .charges are extraordinary.wrong advice by the service man .afterwards the same technician' doing the work without urban lap knowledge.,charges are extraordinary,cost,negative ,wrong advice by the service man ,service quality,negative ,,,,,,,,,,,,
"easy to use , good technicians",good technicians,service quality,positive,easy to use,App UI,positive,,,,,,,,,,,,
This was my first experience with sofa cleaning. I am totally satisfied with the quality of service. Syed Akbar did a commendable job.,totally satisfied,service quality,positive,,,,,,,,,,,,,,,
Very simple and useful for different jobs to carry out. No hassles!,simple and useful,company's service,positive,,,,,,,,,,,,,,,
"Too misleading for those working with it ,the policies are manipulated anytime",misleading,company's service,negative ,,,,,,,,,,,,,,,
horrible beautician ..... cancel without informing.....late .....no calls...... terrible service,terrible service,company's service,negative ,cancel without informing,service schedule,negative ,,,,,,,,,,,,
always late,always late,service schedule,negative ,,,,,,,,,,,,,,,
Lovely walked in before time and did her work well. It was very relaxing and worth,before time,service quality,positive,,,,,,,,,,,,,,,
